name,type,size,environment,cr,hp,ac,str,dex,con,int,wis,cha,speed_walk,speed_fly,speed_swim,speed_burrow,speed_climb,damage_resistances,damage_immunities,damage_vulnerabilities,resist_count,immune_count,vuln_count,senses_count,blindsight,darkvision,tremorsense
Acolyte,Humanoid,medium,,1/4,15,10,10,10,10,10,18,10,30,0,0,0,0,,,,0,0,0,1,0,0,0
Adult Amethyst Dragon,Dragon,Huge,,17,220,18,18,20,18,22,14,20,40,60,0,30,0,"force, psychic",,,2,0,0,2,0,1,0
Adult Black Dragon,Dragon,Huge,Swamp,14,195,19,23,14,21,14,13,17,40,80,40,0,0,,acid,,0,1,0,3,1,1,0
Adult Black Dragon,Dragon,Huge,,17,253,19,22,14,20,14,12,16,40,80,40,0,0,,acid,,0,1,0,3,1,1,0
Adult Black Dragon Lich,Undead,Huge,,17,253,19,22,14,20,14,12,16,40,80,40,0,0,,"acid, necrotic, poison",,0,3,0,3,1,1,0
Adult Blue Dragon,Dragon,Huge,"Desert, Coastal",16,225,19,25,10,23,16,15,19,40,80,0,30,0,,lightning,,0,1,0,3,1,1,0
Adult Blue Dragon,Dragon,Huge,,19,275,19,24,10,22,16,14,18,40,80,30,30,0,,lightning,,0,1,0,4,1,1,1
Adult Boreal Dragon,Dragon,Huge,,17,212,19,25,10,23,15,17,16,40,80,30,0,0,cold,fire,,1,1,0,3,1,1,0
Adult Brass Dragon,Dragon,Huge,Desert,13,172,18,23,10,21,14,13,17,40,80,0,40,0,,fire,,0,1,0,3,1,1,0
Adult Brass Dragon,Dragon,Huge,,16,161,18,22,10,20,18,14,16,40,80,0,30,0,,fire,,0,1,0,3,1,1,0
Adult Bronze Dragon,Dragon,Huge,"Desert, Coastal, Water",15,212,19,25,10,23,16,15,19,40,80,40,0,0,,lightning,,0,1,0,3,1,1,0
Adult Bronze Dragon,Dragon,Huge,,18,287,18,24,10,22,16,14,18,40,80,60,0,0,,lightning,,0,1,0,3,1,1,0
Adult Cave Dragon,Dragon,Huge,,16,243,18,26,12,24,12,12,20,40,0,0,40,40,,"acid, poison, thunder",,0,3,0,2,1,0,0
Adult Copper Dragon,Dragon,Huge,"Hill, Hills, Mountains",14,184,18,23,12,21,18,15,17,40,80,0,0,40,,acid,,0,1,0,3,1,1,0
Adult Copper Dragon,Dragon,Huge,,17,253,18,22,12,20,18,14,16,40,80,0,0,40,,acid,,0,1,0,3,1,1,0
Adult Earth Dragon,Dragon,Huge,,18,287,19,22,14,22,22,14,20,40,40,0,60,0,damage from nonmagical weapons,,,1,0,0,3,0,1,1
Adult Emerald Dragon,Dragon,Huge,,17,241,18,22,22,18,22,12,18,40,60,0,30,0,"psychic, thunder",,,2,0,0,2,0,1,0
Adult Flame Dragon,Dragon,Huge,,16,212,19,19,14,23,17,14,20,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Adult Gold Dragon,Dragon,Huge,"Astral Plane, Grassland, Water, Ruin, Forest",17,256,19,27,14,25,16,15,24,40,80,40,0,0,,fire,,0,1,0,3,1,1,0
Adult Gold Dragon,Dragon,Huge,,20,324,19,26,14,24,16,14,24,40,80,40,0,0,,fire,,0,1,0,3,1,1,0
Adult Green Dragon,Dragon,Huge,"Jungle, Forest",15,207,19,23,12,21,18,15,17,40,80,40,0,0,,poison,,0,1,0,3,1,1,0
Adult Green Dragon,Dragon,Huge,,18,287,18,20,12,20,18,14,16,40,80,40,0,0,,poison,,0,1,0,3,1,1,0
Adult Imperial Dragon,Dragon,Huge,,20,297,19,27,12,25,18,16,18,40,80,40,0,0,,"lightning, thunder",,0,2,0,3,1,1,0
Adult Light Dragon,Dragon,Huge,,16,212,17,22,10,23,16,18,17,40,80,0,0,0,"fire; bludgeoning, piercing, and slashing from nonmagical attacks",radiant,,4,1,0,3,1,1,0
Adult Mithral Dragon,Dragon,Huge,,14,184,18,27,18,21,20,21,20,40,80,0,0,0,"bludgeoning, piercing, and slashing from nonmagical attacks","acid, thunder",,3,2,0,3,1,1,0
Adult Red Dragon,Dragon,Huge,"Hill, Mountains, Mountain",17,256,19,27,10,25,16,13,21,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Adult Red Dragon,Dragon,Huge,,20,310,19,26,10,24,16,14,20,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Adult Rime Worm,Elemental,Large,,6,105,15,20,14,20,6,14,3,30,0,30,30,0,,"cold, necrotic",,0,2,0,2,0,1,0
Adult River Dragon,Dragon,Huge,,17,252,18,18,20,18,14,20,16,60,80,90,0,0,damage from nonmagical weapons,,,1,0,0,3,0,1,1
Adult Sapphire Dragon,Dragon,Huge,,19,304,19,22,22,18,22,20,16,40,80,0,30,0,,psychic,,0,1,0,2,0,1,0
Adult Sea Dragon,Dragon,Huge,,16,225,19,25,10,23,17,15,19,40,80,60,0,0,,cold,,0,1,0,3,1,1,0
Adult Shadow Dragon,Dragon,Huge,,19,212,18,22,14,22,14,14,23,40,80,40,0,40,"acid, cold, fire, lightning, thunder; damage from nonmagical weapons","necrotic, poison",,6,2,0,2,0,1,0
Adult Silver Dragon,Dragon,Huge,"Urban, Feywild, Mountains, Mountain",16,243,19,27,10,25,16,13,21,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Adult Silver Dragon,Dragon,Huge,,19,283,19,24,14,24,16,12,20,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Adult Void Dragon,Dragon,Huge,,14,229,19,24,10,25,16,13,21,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Adult Wasteland Dragon,Dragon,Huge,,17,225,18,26,10,21,14,13,16,40,70,0,30,40,,force,,0,1,0,3,1,1,0
Adult White Dragon,Dragon,Huge,"Tundra, Arctic",13,200,18,22,10,22,8,12,12,40,80,40,30,0,,cold,,0,1,0,3,1,1,0
Adult White Dragon,Dragon,Huge,,16,250,18,22,12,22,8,14,14,40,80,40,30,0,,cold,,0,1,0,3,1,1,0
Adult Wind Dragon,Dragon,Huge,,17,237,19,24,19,22,16,15,18,40,90,0,0,0,,lightning,,0,1,0,3,1,1,0
Adult Black Dragon,Dragon,huge,,14,238,19,24,24,30,14,24,26,40,80,40,0,0,,"acid,poisoned",,0,2,0,2,0,1,0
Adult Blue Dragon,Dragon,huge,,16,267,19,24,20,32,16,24,28,40,80,0,30,0,,lightning,,0,1,0,2,0,1,0
Adult Brass Dragon,Dragon,huge,,13,225,18,22,20,30,14,22,26,40,80,0,30,0,,fire,,0,1,0,2,0,1,0
Adult Bronze Dragon,Dragon,huge,,15,255,19,24,20,32,16,24,28,40,80,40,0,0,,lightning,,0,1,0,2,0,1,0
Adult Copper Dragon,Dragon,huge,,14,252,18,22,22,30,18,24,26,40,80,0,0,40,,acid,,0,1,0,2,0,1,0
Adult Gold Dragon,Dragon,huge,,17,301,19,26,26,36,18,32,30,40,80,40,0,0,,fire,,0,1,0,2,0,1,0
Adult Green Dragon,Dragon,huge,,15,255,19,22,22,30,22,24,26,40,80,40,0,0,,"poison,poisoned",,0,2,0,2,0,1,0
Adult Red Dragon,Dragon,huge,,17,301,19,26,22,36,16,24,32,40,80,0,0,40,,fire,,0,1,0,2,0,1,0
Adult Silver Dragon,Dragon,huge,,16,267,19,26,20,34,16,24,28,40,80,0,0,0,,cold,,0,1,0,2,0,1,0
Adult White Dragon,Dragon,huge,,13,238,18,22,20,32,8,24,24,40,80,40,30,0,,cold,,0,1,0,2,0,1,0
Adult Cave Dragon,Dragon,Huge,,19,270,18,27,12,25,12,14,16,40,0,0,40,0,False,poison,False,1,1,1,3,1,0,1
Adult Flame Dragon,Dragon,Huge,,16,275,19,19,14,23,17,14,20,80,40,0,0,0,False,fire,False,1,1,1,3,1,1,0
Adult Mithral Dragon,Dragon,Huge,,18,253,18,12,22,21,18,19,18,80,40,0,0,0,False,slashing,False,1,1,1,3,1,1,0
Adult Sea Dragon,Dragon,Huge,,18,275,19,25,10,23,17,15,19,60,40,0,0,0,False,cold,False,1,1,1,3,1,1,0
Adult Void Dragon,Dragon,Huge,,16,229,19,24,10,25,16,13,21,80,40,0,0,0,False,cold,False,1,1,1,3,1,1,0
Adult Wind Dragon,Dragon,Huge,,16,187,17,24,16,22,16,15,18,90,30,0,0,0,cold,lightning,False,1,1,1,3,1,1,0
Agnibarra,Monstrosity,Small,,1,39,12,12,14,16,8,10,12,30,0,0,0,0,,fire,cold,0,1,1,1,0,0,0
Ahu-Nixta,Aberration,Large,,3,67,14,17,15,14,19,13,10,30,30,30,0,0,,"poison, psychic",,0,2,0,2,0,1,0
Ahu-Nixta Cataphract,Aberration,Large,,8,135,17,20,8,14,19,13,10,30,30,0,0,0,,"poison, psychic",,0,2,0,2,0,1,0
Ahu-Nixta Drudge,Aberration,Medium,,1/2,26,13,15,12,14,12,10,10,30,30,0,0,0,,"poison, psychic",,0,2,0,2,0,1,0
Ahu-Nixta Mechanon,Construct,Medium,,2,51,14,16,12,18,5,14,3,20,0,0,0,10,,"poison, psychic",,0,2,0,2,0,1,0
Ahuizotl,Monstrosity,Small,,2,71,14,16,15,14,6,12,6,30,0,30,0,0,,,,0,0,0,2,0,1,0
Air Elemental,Elemental,Large,"Plane Of Air, Laboratory, Mountain",5,90,15,14,20,14,6,10,6,0,90,0,0,0,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",poison,,5,1,0,2,0,1,0
Air Elemental,Elemental,Large,,5,90,14,10,18,14,6,10,6,0,90,0,0,0,"lightning, thunder; damage from nonmagical weapons",poison,,3,1,0,2,0,1,0
Air Elemental,Elemental,large,,5,94,15,14,20,14,6,10,6,0,90,0,0,0,"thunder,Elemental Resilience","lightning,Elemental Resilience",,2,2,0,1,0,1,0
Akaasit,Construct,Medium,,6,91,15,13,18,14,3,10,5,30,0,0,0,0,piercing,"poison, psychic",,1,2,0,2,0,0,0
Akanka,Fey,Medium,,2,45,12,10,15,14,15,10,16,40,0,0,0,0,,,,0,0,0,1,0,0,0
Akhlut,Beast,Large,,6,120,14,19,15,15,4,12,10,40,0,60,0,0,cold,,,1,0,0,2,1,0,0
Akkorokamui,Celestial,Gargantuan,,12,189,17,21,16,16,19,20,15,15,0,60,0,0,,poison,,0,1,0,3,1,1,0
Aklea,Celestial,Gargantuan,,22,656,21,30,24,30,22,24,26,60,60,0,0,0,,radiant; damage from nonmagical weapons,,0,2,0,2,0,0,0
Akyishigal,Fiend,Large,,12,138,18,21,17,22,19,14,20,40,40,0,40,0,"acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, poison",False,5,3,1,3,0,1,0
Al-Aeshma Genie,Elemental,Large,,9,172,17,21,15,22,15,16,20,30,90,0,0,0,,"lightning, thunder",,0,2,0,2,0,1,0
Al-Aeshma Genie,Elemental,Large,,9,149,17,21,15,22,15,16,20,90,30,0,0,0,False,"lightning, thunder",False,1,2,1,2,0,1,0
Ala,Fey,Medium,,8,127,17,20,16,18,10,16,8,30,40,0,0,0,,"lightning, poison, thunder",,0,3,0,2,0,1,0
Ala,Fey,Medium,,8,127,17,20,16,18,10,16,8,40,30,0,0,0,False,"lightning, poison, thunder",False,1,3,1,2,0,1,0
Alabaster Tree,Celestial,Huge,,7,105,18,20,10,18,10,14,10,10,0,0,0,0,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant,,3,1,0,2,1,0,0
Alabroza,Monstrosity,Small,,1,45,12,14,15,13,4,15,7,10,50,0,0,0,,,,0,0,0,2,0,1,0
"Alabroza, Bloodfiend",Fiend,Small,,4,72,14,16,15,13,9,15,14,10,50,0,0,0,"cold, fire, lightning, poison",,,4,0,0,2,0,1,0
Alazai,Elemental,Large,,10,149,16,21,15,22,10,16,20,40,0,0,0,0,,"fire, poison",,0,2,0,2,0,1,0
Albino Death Weasel,Beast,Large,,1,45,13,16,14,15,4,15,5,50,0,0,30,0,,,,0,0,0,2,0,1,0
Alchemical Apprentice,Ooze,Small,,1,63,11,13,6,13,16,6,10,10,0,0,0,10,"acid, cold, fire, poison",,,4,0,0,2,1,0,0
Alchemical Golem,Construct,Large,,9,147,15,18,7,21,7,10,1,20,0,0,0,0,"acid, cold, fire, lightning","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine",,4,5,0,2,0,1,0
Alchemical Skunk,Monstrosity,Small,,4,66,15,13,17,14,2,12,7,30,0,0,10,0,,,,0,0,0,2,1,0,0
Alchemist,Humanoid,Medium,,6,91,14,11,16,14,19,14,13,30,0,0,0,0,"fire, poison",,,2,0,0,1,0,0,0
Alchemist Archer,Humanoid,Medium,,10,135,17,11,20,16,18,14,10,30,0,0,0,0,,,,0,0,0,2,0,1,0
Alchemist,Humanoid,Small,,2,44,15,7,16,15,16,9,8,30,0,0,0,0,False,poison,False,1,1,1,2,0,1,0
Alehouse Drake,Dragon,Tiny,,1/2,65,13,7,16,19,11,12,16,40,80,0,0,0,,,,0,0,0,2,0,1,0
Alehouse Drake,Dragon,Tiny,,1,45,13,7,16,15,11,12,16,60,30,0,0,0,False,poison,False,1,1,1,2,0,1,0
Algorith,Construct,Medium,,10,136,18,21,14,19,13,16,18,40,40,0,0,0,"acid, cold, lightning",poison,,3,1,0,2,0,1,0
Algorith,Construct,Medium,,10,153,18,21,14,19,13,16,18,0,40,0,0,0,"acid, cold, lightning",poison,False,3,1,1,2,0,1,0
Alke,Monstrosity,Large,,5,114,14,18,15,18,4,13,12,50,0,0,0,30,,,,0,0,0,2,0,1,0
Alkonost,Monstrosity,Small,,1/2,17,12,11,14,10,7,14,13,20,40,0,0,0,lightning,,,1,0,0,2,0,1,0
Alligator,Beast,Medium,,1/4,11,13,15,10,13,2,10,5,20,0,30,0,0,,,,0,0,0,1,0,0,0
Alligator Turtle,Beast,Medium,,1/4,11,15,15,12,13,2,12,7,20,0,30,0,0,,,,0,0,0,1,0,0,0
Alliumite,Plant,Small,,1/4,18,14,6,18,12,7,12,9,30,0,0,20,0,,,,0,0,0,2,0,1,0
"Alliumite, Husker",Plant,Medium,,2,68,15,15,12,18,9,12,16,20,0,0,10,0,,,,0,0,0,2,0,1,0
"Alliumite, Rapscallion",Plant,Small,,2,38,15,6,18,14,9,12,18,30,0,20,20,0,,,,0,0,0,2,0,1,0
Allosaurus,Beast,Huge,,3,57,15,18,18,16,2,12,5,60,0,0,0,0,,,,0,0,0,1,0,0,0
Alnaar,Fiend,Large,,9,212,17,20,22,17,9,12,10,40,40,0,20,0,"bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison",cold,3,2,1,2,0,1,0
Alp,Fey,Small,,1,44,13,12,16,14,10,16,8,30,0,0,0,0,"cold, necrotic",,,2,0,0,2,0,1,0
Alpha Fish,Beast,Large,,3,59,13,16,13,16,1,10,12,0,0,50,0,0,,,,0,0,0,1,0,0,0
Alpha Werewolf,Humanoid,Medium,,6,104,12,14,14,14,10,10,10,30,0,0,0,0,,"damage from nonmagical, non-silvered weapons",,0,2,0,2,0,1,0
Alpha Yek,Fiend,Medium,,9,129,16,16,16,16,15,13,10,30,0,0,0,30,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison,,6,1,0,2,0,1,0
Alpine Creeper,Plant,Huge,,3,95,5,3,1,17,1,4,1,15,0,0,0,0,"bludgeoning, piercing",cold,fire,2,1,1,2,0,0,1
Alseid,Monstrosity,Medium,,1/2,49,14,13,17,12,8,16,8,40,0,0,0,0,,,,0,0,0,2,0,1,0
Alseid Grovekeeper,Monstrosity,Medium,,3,71,15,13,17,12,8,16,8,40,0,0,0,0,,,,0,0,0,2,0,1,0
Alseid,Monstrosity,Medium,,1/2,33,14,13,17,12,8,16,8,40,0,0,0,0,False,False,False,1,1,1,2,0,1,0
"Alseid, Woad Warrior",Monstrosity,Medium,,2,55,14,14,17,12,8,16,10,40,0,0,0,0,,,,0,0,0,2,0,1,0
Altar Flame Golem,Construct,Large,,10,152,16,19,9,18,3,10,1,20,0,0,0,0,,"fire, poison, psychic; bludgeoning, piercing and slashing from nonmagical attacks not made with adamantine",,0,6,0,2,0,1,0
Amber Ooze,Ooze,Large,,4,76,7,16,5,17,1,6,1,20,0,0,0,0,"bludgeoning, piercing, and slashing from nonmagical attacks",poison,,3,1,0,2,1,0,0
Ambush Hag,Fey,medium,,9,156,16,16,26,16,16,14,26,30,0,0,0,30,Fey Resilience,"poison,poisoned",,1,2,0,1,0,1,0
Amethyst Dragon Wyrmling,Dragon,Medium,,2,45,16,14,14,14,16,10,14,30,50,0,15,0,"force, psychic",,,2,0,0,2,0,1,0
Ammut,Celestial,Large,,9,172,17,20,12,23,6,16,12,30,0,0,0,0,"cold, radiant",necrotic,,2,1,0,2,0,1,0
Amphibolt,Monstrosity,Large,,5,85,15,16,18,18,3,9,5,30,0,60,0,0,fire,lightning,,1,1,0,2,0,1,0
Amphiptere,Beast,Medium,,3,60,15,11,18,17,2,16,6,20,60,20,0,20,,,,0,0,0,2,1,0,0
Amphiptere,Beast,Medium,,3,60,15,11,18,17,2,16,6,20,20,0,0,0,False,False,False,1,1,1,2,1,0,0
Ancient Aboleth,Aberration,Huge,,11,342,17,20,12,18,20,20,18,10,0,40,0,0,,,,0,0,0,3,1,1,0
Ancient Amethyst Dragon,Dragon,Gargantuan,,23,313,20,22,24,22,26,16,24,40,60,0,40,0,"force, psychic",,,2,0,0,2,0,1,0
Ancient Black Dragon,Dragon,Gargantuan,Swamp,21,367,22,27,14,25,16,15,19,40,80,40,0,0,,acid,,0,1,0,3,1,1,0
Ancient Black Dragon,Dragon,Gargantuan,,23,367,22,26,14,24,16,14,18,40,80,40,0,0,,acid,,0,1,0,3,1,1,0
Ancient Blue Dragon,Dragon,Gargantuan,"Desert, Coastal",23,481,22,29,10,27,18,17,21,40,80,0,40,0,,lightning,,0,1,0,3,1,1,0
Ancient Blue Dragon,Dragon,Gargantuan,,25,407,22,28,10,26,18,16,20,40,80,40,40,0,,lightning,,0,1,0,4,1,1,1
Ancient Boreal Dragon,Dragon,Gargantuan,,24,407,22,29,10,27,17,19,18,40,80,30,0,0,cold,fire,,1,1,0,3,1,1,0
Ancient Brass Dragon,Dragon,Gargantuan,Desert,20,297,20,27,10,25,16,15,19,40,80,0,40,0,,fire,,0,1,0,3,1,1,0
Ancient Brass Dragon,Dragon,Gargantuan,,22,367,20,26,10,24,20,16,18,40,80,0,40,0,,fire,,0,1,0,3,1,1,0
Ancient Bronze Dragon,Dragon,Gargantuan,"Desert, Coastal, Water",22,444,22,29,10,27,18,17,21,40,80,40,0,0,,lightning,,0,1,0,3,1,1,0
Ancient Bronze Dragon,Dragon,Gargantuan,,24,425,21,28,10,26,18,16,20,40,80,80,0,0,,lightning,,0,1,0,3,1,1,0
Ancient Copper Dragon,Dragon,Gargantuan,"Hill, Hills, Mountains",21,350,21,27,12,25,20,17,19,40,80,0,0,40,,acid,,0,1,0,3,1,1,0
Ancient Copper Dragon,Dragon,Gargantuan,,23,367,21,26,12,24,20,16,18,40,80,0,0,40,,acid,,0,1,0,3,1,1,0
Ancient Earth Dragon,Dragon,Gargantuan,,24,425,22,26,14,26,16,22,14,40,40,0,60,0,damage from nonmagical weapons,,,1,0,0,3,0,1,1
Ancient Emerald Dragon,Dragon,Gargantuan,,24,346,20,26,26,22,26,14,22,40,60,0,40,0,"psychic, thunder",,,2,0,0,2,0,1,0
Ancient Flame Dragon,Dragon,Gargantuan,,24,481,22,23,14,27,19,16,22,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Ancient Gold Dragon,Dragon,Gargantuan,"Astral Plane, Grassland, Water, Ruin, Forest",24,546,22,30,14,29,18,17,28,40,80,40,0,0,,fire,,0,1,0,3,1,1,0
Ancient Gold Dragon,Dragon,Gargantuan,,26,487,22,30,14,28,18,16,28,40,80,40,0,0,,fire,,0,1,0,3,1,1,0
Ancient Green Dragon,Dragon,Gargantuan,"Jungle, Forest",22,385,21,27,12,25,20,17,19,40,80,40,0,0,,poison,,0,1,0,3,1,1,0
Ancient Green Dragon,Dragon,Gargantuan,,24,420,21,26,12,24,20,16,28,40,80,40,0,0,,poison,,0,1,0,3,1,1,0
Ancient Imperial Dragon,Dragon,Gargantuan,,26,546,22,30,12,29,20,18,20,40,80,40,0,0,,"lightning, thunder",,0,2,0,3,1,1,0
Ancient Light Dragon,Dragon,Gargantuan,,22,407,22,26,10,27,18,20,19,40,80,0,0,0,fire,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,1,4,0,3,1,1,0
Ancient Mandriano,Plant,Huge,,8,102,14,21,8,15,12,10,7,40,0,0,0,0,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison,fire,4,1,1,1,0,0,0
Ancient Mithral Dragon,Dragon,Gargantuan,,18,297,20,29,16,25,24,25,24,40,80,0,0,0,"bludgeoning, piercing, and slashing from","acid, thunder",,3,2,0,3,1,1,0
Ancient Red Dragon,Dragon,Gargantuan,"Hill, Mountains, Mountain",24,546,22,30,10,29,18,15,23,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Ancient Red Dragon,Dragon,Gargantuan,,26,448,22,30,10,28,18,16,22,40,80,0,0,40,,fire,,0,1,0,3,1,1,0
Ancient River Dragon,Dragon,Gargantuan,,23,372,20,20,24,20,16,24,20,60,80,100,0,0,damage from nonmagical weapons,,,1,0,0,3,0,1,1
Ancient Sapphire Dragon,Dragon,Gargantuan,,25,429,21,24,24,22,26,24,20,40,80,0,40,0,,psychic,,0,1,0,2,0,1,0
Ancient Sea Dragon,Dragon,Gargantuan,,22,481,22,29,10,27,19,17,21,40,80,80,0,0,,cold,,0,1,0,3,1,1,0
Ancient Shadow Dragon,Dragon,Gargantuan,,24,296,21,26,16,26,16,16,26,40,80,40,0,40,"acid, cold, fire, lightning, thunder; damage from nonmagical weapons","necrotic, poison",,6,2,0,2,0,1,0
Ancient Silver Dragon,Dragon,Gargantuan,"Urban, Feywild, Mountains, Mountain",23,487,22,30,10,29,18,15,23,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Ancient Silver Dragon,Dragon,Gargantuan,,25,429,22,30,14,28,18,14,22,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Ancient Titan,Celestial,Gargantuan,,12,198,15,27,13,22,16,16,20,50,0,0,0,0,"bludgeoning, piercing, and slashing from nonmagical attacks",,,3,0,0,2,0,1,0
Ancient Void Dragon,Dragon,Gargantuan,,24,448,22,28,10,29,18,15,23,40,80,0,0,0,,cold,,0,1,0,3,1,1,0
Ancient Wasteland Dragon,Dragon,Gargantuan,,23,333,22,28,10,26,16,15,19,40,80,0,30,40,,force,,0,1,0,3,1,1,0
Ancient White Dragon,Dragon,Gargantuan,"Tundra, Arctic",20,333,20,26,10,26,10,13,14,40,80,40,40,0,,cold,,0,1,0,3,1,1,0
Ancient White Dragon,Dragon,Gargantuan,,22,370,20,26,12,26,10,16,16,40,80,40,40,0,,cold,,0,1,0,3,1,1,0
Ancient Wind Dragon,Dragon,Gargantuan,,22,425,20,28,19,26,18,17,20,40,120,0,0,0,"bludgeoning, piercing, and slashing from nonmagical attacks","lightning, ranged weapons",,3,2,0,3,1,1,0
Ancient Black Dragon,Dragon,gargantuan,,20,355,21,28,26,36,16,28,30,40,80,40,0,0,,"acid,poisoned",,0,2,0,2,0,1,0
Ancient Blue Dragon,Dragon,gargantuan,,20,355,21,28,22,38,18,28,32,40,80,0,40,0,,lightning,,0,1,0,2,0,1,0
Ancient Brass Dragon,Dragon,gargantuan,,17,284,20,26,22,36,16,26,30,40,80,0,40,0,,fire,,0,1,0,2,0,1,0
Ancient Bronze Dragon,Dragon,gargantuan,,19,314,21,28,22,38,18,28,32,40,80,40,0,0,,lightning,,0,1,0,2,0,1,0
Ancient Copper Dragon,Dragon,gargantuan,,18,297,21,26,22,36,20,28,30,40,80,0,0,40,,acid,,0,1,0,2,0,1,0
Ancient Gold Dragon,Dragon,gargantuan,,21,382,22,30,28,42,20,36,34,40,80,40,0,0,,fire,,0,1,0,2,0,1,0
Ancient Green Dragon,Dragon,gargantuan,,19,333,21,26,24,36,24,28,30,40,80,40,0,0,,"poison,poisoned",,0,2,0,2,0,1,0
Ancient Red Dragon,Dragon,gargantuan,,21,382,22,30,24,42,18,28,36,40,80,0,0,40,,fire,,0,1,0,2,0,1,0
Ancient Silver Dragon,Dragon,gargantuan,,20,355,21,30,22,40,18,28,32,40,80,0,0,0,,cold,,0,1,0,2,0,1,0
Ancient White Dragon,Dragon,gargantuan,,17,301,20,26,22,38,10,28,28,40,80,40,40,0,,cold,,0,1,0,2,0,1,0
